Summary Orientations,,,,,,,,Core Orientations,,,,,,,,,,,,,,,,,,,,,,,,Block Orientations,,,,,,,,,,,,,,,,,,,,,,,
site,specimen,old_mag_core_strike,old_core_dip,new_mag_core_strike,new_core_dip,strike_correction,dip_correction,specimen,sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike,specimen,sample_name,comment,strat_level,magnetic_block_strike,block_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,block_shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_block_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec_block,block_strike,corrected_bedding_strike
NWFA,NWFA-2B,270,47.5,273.2,47.5,3.2,0,NWFA-2B,2,sun compass orientation,518,269.2,47.5,0,0,no,193,7,2024,3,18,15,59,1,nan,273.2,[np.float64(358.6212857487161); np.float64(20.654634514514573); np.float64(43316.64975128025)],-1.378714251,4,273.2,nan,NWFA-2B,2,sun compass orientation,518,274,44,0,0,no,193,7,2024,3,18,15,59,1,nan,273.2,[np.float64(358.6212857487161); np.float64(20.654634514514573); np.float64(43316.64975128025)],-1.378714251,-0.8,273.2,nan
NWFA,NWFA-2C,270,47.5,273.2,47.5,3.2,0,NWFA-2C,2,sun compass orientation,518,269.2,47.5,0,0,no,193,7,2024,3,18,15,59,1,nan,273.2,[np.float64(358.6212857487161); np.float64(20.654634514514573); np.float64(43316.64975128025)],-1.378714251,4,273.2,nan,NWFA-2C,2,sun compass orientation,518,274,44,0,0,no,193,7,2024,3,18,15,59,1,nan,273.2,[np.float64(358.6212857487161); np.float64(20.654634514514573); np.float64(43316.64975128025)],-1.378714251,-0.8,273.2,nan
NWFA,NWFA-2D,270,47.5,273.2,47.5,3.2,0,NWFA-2D,2,sun compass orientation,518,269.2,47.5,0,0,no,193,7,2024,3,18,15,59,1,nan,273.2,[np.float64(358.6212857487161); np.float64(20.654634514514573); np.float64(43316.64975128025)],-1.378714251,4,273.2,nan,NWFA-2D,2,sun compass orientation,518,274,44,0,0,no,193,7,2024,3,18,15,59,1,nan,273.2,[np.float64(358.6212857487161); np.float64(20.654634514514573); np.float64(43316.64975128025)],-1.378714251,-0.8,273.2,nan
NWFA,NWFA-2E,270,47.5,273.2,47.5,3.2,0,NWFA-2E,2,sun compass orientation,518,269.2,47.5,0,0,no,193,7,2024,3,18,15,59,1,nan,273.2,[np.float64(358.6212857487161); np.float64(20.654634514514573); np.float64(43316.64975128025)],-1.378714251,4,273.2,nan,NWFA-2E,2,sun compass orientation,518,274,44,0,0,no,193,7,2024,3,18,15,59,1,nan,273.2,[np.float64(358.6212857487161); np.float64(20.654634514514573); np.float64(43316.64975128025)],-1.378714251,-0.8,273.2,nan
NWFA,NWFA-3A,318,41.5,332.5,41.5,14.5,0,NWFA-3A,3,sun compass orientation,518,307.5,41.5,0,0,no,258,7,2024,3,18,15,5,1,nan,332.5,[np.float64(358.6212918227949); np.float64(20.65462241951744); np.float64(43316.64444477951)],-1.378708177,25,332.5,nan,NWFA-3A,3,sun compass orientation,518,343,27,0,0,no,258,7,2024,3,18,15,5,1,nan,332.5,[np.float64(358.6212918227949); np.float64(20.65462241951744); np.float64(43316.64444477951)],-1.378708177,-10.5,332.5,nan
NWFA,NWFA-3B,318,41.5,332.5,41.5,14.5,0,NWFA-3B,3,sun compass orientation,518,307.5,41.5,0,0,no,258,7,2024,3,18,15,5,1,nan,332.5,[np.float64(358.6212918227949); np.float64(20.65462241951744); np.float64(43316.64444477951)],-1.378708177,25,332.5,nan,NWFA-3B,3,sun compass orientation,518,343,27,0,0,no,258,7,2024,3,18,15,5,1,nan,332.5,[np.float64(358.6212918227949); np.float64(20.65462241951744); np.float64(43316.64444477951)],-1.378708177,-10.5,332.5,nan
NWFA,NWFA-3C,318,41.5,332.5,41.5,14.5,0,NWFA-3C,3,sun compass orientation,518,307.5,41.5,0,0,no,258,7,2024,3,18,15,5,1,nan,332.5,[np.float64(358.6212918227949); np.float64(20.65462241951744); np.float64(43316.64444477951)],-1.378708177,25,332.5,nan,NWFA-3C,3,sun compass orientation,518,343,27,0,0,no,258,7,2024,3,18,15,5,1,nan,332.5,[np.float64(358.6212918227949); np.float64(20.65462241951744); np.float64(43316.64444477951)],-1.378708177,-10.5,332.5,nan
NWFA,NWFA-4A,246,60,253.3,60,7.3,0,NWFA-4A,4,sun compass orientation,518,245.3,60,0,0,no,172,7,2024,3,18,16,11,1,nan,253.3,[np.float64(358.62128439892086); np.float64(20.654637202291298); np.float64(43316.65093050294)],-1.378715601,8,253.3,nan,NWFA-4A,4,sun compass orientation,518,254,44,0,0,no,172,7,2024,3,18,16,11,1,nan,253.3,[np.float64(358.62128439892086); np.float64(20.654637202291298); np.float64(43316.65093050294)],-1.378715601,-0.7,253.3,nan
NWFA,NWFA-4B,246,60,253.3,60,7.3,0,NWFA-4B,4,sun compass orientation,518,245.3,60,0,0,no,172,7,2024,3,18,16,11,1,nan,253.3,[np.float64(358.62128439892086); np.float64(20.654637202291298); np.float64(43316.65093050294)],-1.378715601,8,253.3,nan,NWFA-4B,4,sun compass orientation,518,254,44,0,0,no,172,7,2024,3,18,16,11,1,nan,253.3,[np.float64(358.62128439892086); np.float64(20.654637202291298); np.float64(43316.65093050294)],-1.378715601,-0.7,253.3,nan
NWFA,NWFA-4C,246,60,253.3,60,7.3,0,NWFA-4C,4,sun compass orientation,518,245.3,60,0,0,no,172,7,2024,3,18,16,11,1,nan,253.3,[np.float64(358.62128439892086); np.float64(20.654637202291298); np.float64(43316.65093050294)],-1.378715601,8,253.3,nan,NWFA-4C,4,sun compass orientation,518,254,44,0,0,no,172,7,2024,3,18,16,11,1,nan,253.3,[np.float64(358.62128439892086); np.float64(20.654637202291298); np.float64(43316.65093050294)],-1.378715601,-0.7,253.3,nan
