Summary Orientations,,,,,,,,Core Orientations,,,,,,,,,,,,,,,,,,,,,,,,Block Orientations,,,,,,,,,,,,,,,,,,,,,,,
site,specimen,old_mag_core_strike,old_core_dip,new_mag_core_strike,new_core_dip,strike_correction,dip_correction,specimen,sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike,specimen,sample_name,comment,strat_level,magnetic_block_strike,block_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,block_shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_block_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec_block,block_strike,corrected_bedding_strike
NWFB,NWFB-3B,61,63,260.2,29,199.2,-34,NWFB-3B,3,mag compass orientation (IGRF corrected),0,261.6,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,260.2,nan,NWFB-3B,3,mag compass orientation (IGRF corrected),0,263,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,261.6,nan
NWFB,NWFB-3C,61,63,260.2,29,199.2,-34,NWFB-3C,3,mag compass orientation (IGRF corrected),0,261.6,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,260.2,nan,NWFB-3C,3,mag compass orientation (IGRF corrected),0,263,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,261.6,nan
NWFB,NWFB-3D,61,63,260.2,29,199.2,-34,NWFB-3D,3,mag compass orientation (IGRF corrected),0,261.6,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,260.2,nan,NWFB-3D,3,mag compass orientation (IGRF corrected),0,263,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,261.6,nan
NWFB,NWFB-3E,61,63,260.2,29,199.2,-34,NWFB-3E,3,mag compass orientation (IGRF corrected),0,261.6,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,260.2,nan,NWFB-3E,3,mag compass orientation (IGRF corrected),0,263,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,261.6,nan
NWFB,NWFB-3F,61,63,260.2,29,199.2,-34,NWFB-3F,3,mag compass orientation (IGRF corrected),0,261.6,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,260.2,nan,NWFB-3F,3,mag compass orientation (IGRF corrected),0,263,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,261.6,nan
NWFB,NWFB-3G,61,63,260.2,29,199.2,-34,NWFB-3G,3,mag compass orientation (IGRF corrected),0,261.6,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,260.2,nan,NWFB-3G,3,mag compass orientation (IGRF corrected),0,263,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,261.6,nan
NWFB,NWFB-3H,61,63,260.2,29,199.2,-34,NWFB-3H,3,mag compass orientation (IGRF corrected),0,261.6,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,260.2,nan,NWFB-3H,3,mag compass orientation (IGRF corrected),0,263,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,261.6,nan
NWFB,NWFB-3I,61,63,260.2,29,199.2,-34,NWFB-3I,3,mag compass orientation (IGRF corrected),0,261.6,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,260.2,nan,NWFB-3I,3,mag compass orientation (IGRF corrected),0,263,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,261.6,nan
NWFC,NWFC-1A,321,51,286.6,51,-34.4,0,NWFC-1A,1,sun compass orientation,0,321.6,51,0,0,yes,337,7,2024,3,19,10,51,1,nan,286.6,[np.float64(358.6471118430033); np.float64(20.149425651590263); np.float64(43224.58818357999)],-1.352888157,-35,286.6,-1.4,NWFC-1A,1,sun compass orientation,0,286,25,0,0,no,337,7,2024,3,19,10,51,1,nan,286.6,[np.float64(358.6471118430033); np.float64(20.149425651590263); np.float64(43224.58818357999)],-1.352888157,0.6,286.6,-1.4
NWFC,NWFC-1B,321,51,286.6,51,-34.4,0,NWFC-1B,1,sun compass orientation,0,321.6,51,0,0,yes,337,7,2024,3,19,10,51,1,nan,286.6,[np.float64(358.6471118430033); np.float64(20.149425651590263); np.float64(43224.58818357999)],-1.352888157,-35,286.6,-1.4,NWFC-1B,1,sun compass orientation,0,286,25,0,0,no,337,7,2024,3,19,10,51,1,nan,286.6,[np.float64(358.6471118430033); np.float64(20.149425651590263); np.float64(43224.58818357999)],-1.352888157,0.6,286.6,-1.4
NWFC,NWFC-1C,321,51,286.6,51,-34.4,0,NWFC-1C,1,sun compass orientation,0,321.6,51,0,0,yes,337,7,2024,3,19,10,51,1,nan,286.6,[np.float64(358.6471118430033); np.float64(20.149425651590263); np.float64(43224.58818357999)],-1.352888157,-35,286.6,-1.4,NWFC-1C,1,sun compass orientation,0,286,25,0,0,no,337,7,2024,3,19,10,51,1,nan,286.6,[np.float64(358.6471118430033); np.float64(20.149425651590263); np.float64(43224.58818357999)],-1.352888157,0.6,286.6,-1.4
NWFC,NWFC-2A,335,16,266.7,16,-68.3,0,NWFC-2A,2,sun compass orientation,0,328.7,16,0,0,yes,314,7,2024,3,19,10,58,1,nan,266.7,[np.float64(358.64711106070683); np.float64(20.149427226110337); np.float64(43224.58886512852)],-1.352888939,-62,266.7,-1.4,NWFC-2A,2,sun compass orientation,0,273,98,0,0,no,314,7,2024,3,19,10,58,1,nan,266.7,[np.float64(358.64711106070683); np.float64(20.149427226110337); np.float64(43224.58886512852)],-1.352888939,-6.3,266.7,-1.4
NWFC,NWFC-2B,335,16,266.7,16,-68.3,0,NWFC-2B,2,sun compass orientation,0,328.7,16,0,0,yes,314,7,2024,3,19,10,58,1,nan,266.7,[np.float64(358.64711106070683); np.float64(20.149427226110337); np.float64(43224.58886512852)],-1.352888939,-62,266.7,-1.4,NWFC-2B,2,sun compass orientation,0,273,98,0,0,no,314,7,2024,3,19,10,58,1,nan,266.7,[np.float64(358.64711106070683); np.float64(20.149427226110337); np.float64(43224.58886512852)],-1.352888939,-6.3,266.7,-1.4
NWFC,NWFC-2C,335,16,266.7,16,-68.3,0,NWFC-2C,2,sun compass orientation,0,328.7,16,0,0,yes,314,7,2024,3,19,10,58,1,nan,266.7,[np.float64(358.64711106070683); np.float64(20.149427226110337); np.float64(43224.58886512852)],-1.352888939,-62,266.7,-1.4,NWFC-2C,2,sun compass orientation,0,273,98,0,0,no,314,7,2024,3,19,10,58,1,nan,266.7,[np.float64(358.64711106070683); np.float64(20.149427226110337); np.float64(43224.58886512852)],-1.352888939,-6.3,266.7,-1.4
NWFC,NWFC-2D,335,16,266.7,16,-68.3,0,NWFC-2D,2,sun compass orientation,0,328.7,16,0,0,yes,314,7,2024,3,19,10,58,1,nan,266.7,[np.float64(358.64711106070683); np.float64(20.149427226110337); np.float64(43224.58886512852)],-1.352888939,-62,266.7,-1.4,NWFC-2D,2,sun compass orientation,0,273,98,0,0,no,314,7,2024,3,19,10,58,1,nan,266.7,[np.float64(358.64711106070683); np.float64(20.149427226110337); np.float64(43224.58886512852)],-1.352888939,-6.3,266.7,-1.4
NWFC,NWFC-2E,335,16,266.7,16,-68.3,0,NWFC-2E,2,sun compass orientation,0,328.7,16,0,0,yes,314,7,2024,3,19,10,58,1,nan,266.7,[np.float64(358.64711106070683); np.float64(20.149427226110337); np.float64(43224.58886512852)],-1.352888939,-62,266.7,-1.4,NWFC-2E,2,sun compass orientation,0,273,98,0,0,no,314,7,2024,3,19,10,58,1,nan,266.7,[np.float64(358.64711106070683); np.float64(20.149427226110337); np.float64(43224.58886512852)],-1.352888939,-6.3,266.7,-1.4
NWFC,NWFC-2F,335,16,266.7,16,-68.3,0,NWFC-2F,2,sun compass orientation,0,328.7,16,0,0,yes,314,7,2024,3,19,10,58,1,nan,266.7,[np.float64(358.64711106070683); np.float64(20.149427226110337); np.float64(43224.58886512852)],-1.352888939,-62,266.7,-1.4,NWFC-2F,2,sun compass orientation,0,273,98,0,0,no,314,7,2024,3,19,10,58,1,nan,266.7,[np.float64(358.64711106070683); np.float64(20.149427226110337); np.float64(43224.58886512852)],-1.352888939,-6.3,266.7,-1.4
NWFC,NWFC-3A,254,26,33.6,26,-220.4,0,NWFC-3A,3,sun compass orientation,0,250.6,26,0,0,yes,78,7,2024,3,19,11,4,1,nan,33.6,[np.float64(358.647110390167); np.float64(20.149428575698934); np.float64(43224.58944931301)],-1.35288961,-217,33.6,-1.4,NWFC-3A,3,sun compass orientation,0,37,20,0,0,no,78,7,2024,3,19,11,4,1,nan,33.6,[np.float64(358.647110390167); np.float64(20.149428575698934); np.float64(43224.58944931301)],-1.35288961,-3.4,33.6,-1.4
NWFC,NWFC-3B,254,26,33.6,26,-220.4,0,NWFC-3B,3,sun compass orientation,0,250.6,26,0,0,yes,78,7,2024,3,19,11,4,1,nan,33.6,[np.float64(358.647110390167); np.float64(20.149428575698934); np.float64(43224.58944931301)],-1.35288961,-217,33.6,-1.4,NWFC-3B,3,sun compass orientation,0,37,20,0,0,no,78,7,2024,3,19,11,4,1,nan,33.6,[np.float64(358.647110390167); np.float64(20.149428575698934); np.float64(43224.58944931301)],-1.35288961,-3.4,33.6,-1.4
NWFC,NWFC-3C,254,26,33.6,26,-220.4,0,NWFC-3C,3,sun compass orientation,0,250.6,26,0,0,yes,78,7,2024,3,19,11,4,1,nan,33.6,[np.float64(358.647110390167); np.float64(20.149428575698934); np.float64(43224.58944931301)],-1.35288961,-217,33.6,-1.4,NWFC-3C,3,sun compass orientation,0,37,20,0,0,no,78,7,2024,3,19,11,4,1,nan,33.6,[np.float64(358.647110390167); np.float64(20.149428575698934); np.float64(43224.58944931301)],-1.35288961,-3.4,33.6,-1.4
NWFC,NWFC-3D,254,26,33.6,26,-220.4,0,NWFC-3D,3,sun compass orientation,0,250.6,26,0,0,yes,78,7,2024,3,19,11,4,1,nan,33.6,[np.float64(358.647110390167); np.float64(20.149428575698934); np.float64(43224.58944931301)],-1.35288961,-217,33.6,-1.4,NWFC-3D,3,sun compass orientation,0,37,20,0,0,no,78,7,2024,3,19,11,4,1,nan,33.6,[np.float64(358.647110390167); np.float64(20.149428575698934); np.float64(43224.58944931301)],-1.35288961,-3.4,33.6,-1.4
NWFC,NWFC-3E,254,26,33.6,26,-220.4,0,NWFC-3E,3,sun compass orientation,0,250.6,26,0,0,yes,78,7,2024,3,19,11,4,1,nan,33.6,[np.float64(358.647110390167); np.float64(20.149428575698934); np.float64(43224.58944931301)],-1.35288961,-217,33.6,-1.4,NWFC-3E,3,sun compass orientation,0,37,20,0,0,no,78,7,2024,3,19,11,4,1,nan,33.6,[np.float64(358.647110390167); np.float64(20.149428575698934); np.float64(43224.58944931301)],-1.35288961,-3.4,33.6,-1.4
NWFC,NWFC-4A,240,55,239.7,55,-0.3,0,NWFC-4A,4,sun compass orientation,0,233.7,55,0,0,yes,278,7,2024,3,19,11,15,1,nan,239.7,[np.float64(358.64710916084397); np.float64(20.149431049944575); np.float64(43224.59052031797)],-1.352890839,6,239.7,-1.4,NWFC-4A,4,sun compass orientation,0,246,11,0,0,no,278,7,2024,3,19,11,15,1,nan,239.7,[np.float64(358.64710916084397); np.float64(20.149431049944575); np.float64(43224.59052031797)],-1.352890839,-6.3,239.7,-1.4
NWFC,NWFC-4B,240,55,239.7,55,-0.3,0,NWFC-4B,4,sun compass orientation,0,233.7,55,0,0,yes,278,7,2024,3,19,11,15,1,nan,239.7,[np.float64(358.64710916084397); np.float64(20.149431049944575); np.float64(43224.59052031797)],-1.352890839,6,239.7,-1.4,NWFC-4B,4,sun compass orientation,0,246,11,0,0,no,278,7,2024,3,19,11,15,1,nan,239.7,[np.float64(358.64710916084397); np.float64(20.149431049944575); np.float64(43224.59052031797)],-1.352890839,-6.3,239.7,-1.4
NWFC,NWFC-4C,240,55,239.7,55,-0.3,0,NWFC-4C,4,sun compass orientation,0,233.7,55,0,0,yes,278,7,2024,3,19,11,15,1,nan,239.7,[np.float64(358.64710916084397); np.float64(20.149431049944575); np.float64(43224.59052031797)],-1.352890839,6,239.7,-1.4,NWFC-4C,4,sun compass orientation,0,246,11,0,0,no,278,7,2024,3,19,11,15,1,nan,239.7,[np.float64(358.64710916084397); np.float64(20.149431049944575); np.float64(43224.59052031797)],-1.352890839,-6.3,239.7,-1.4
NWFC,NWFC-4D,240,55,239.7,55,-0.3,0,NWFC-4D,4,sun compass orientation,0,233.7,55,0,0,yes,278,7,2024,3,19,11,15,1,nan,239.7,[np.float64(358.64710916084397); np.float64(20.149431049944575); np.float64(43224.59052031797)],-1.352890839,6,239.7,-1.4,NWFC-4D,4,sun compass orientation,0,246,11,0,0,no,278,7,2024,3,19,11,15,1,nan,239.7,[np.float64(358.64710916084397); np.float64(20.149431049944575); np.float64(43224.59052031797)],-1.352890839,-6.3,239.7,-1.4
NWFC,NWFC-4E,240,55,239.7,55,-0.3,0,NWFC-4E,4,sun compass orientation,0,233.7,55,0,0,yes,278,7,2024,3,19,11,15,1,nan,239.7,[np.float64(358.64710916084397); np.float64(20.149431049944575); np.float64(43224.59052031797)],-1.352890839,6,239.7,-1.4,NWFC-4E,4,sun compass orientation,0,246,11,0,0,no,278,7,2024,3,19,11,15,1,nan,239.7,[np.float64(358.64710916084397); np.float64(20.149431049944575); np.float64(43224.59052031797)],-1.352890839,-6.3,239.7,-1.4
NWFC,NWFC-5A,119,58.5,351.5,58.5,232.5,0,NWFC-5A,5,sun compass orientation,0,114.5,58.5,0,0,yes,28,7,2024,3,19,11,18,1,nan,351.5,[np.float64(358.64710882557404); np.float64(20.149431724738797); np.float64(43224.590812410315)],-1.352891174,-123,351.5,-1.4,NWFC-5A,5,sun compass orientation,0,356,78,0,0,no,28,7,2024,3,19,11,18,1,nan,351.5,[np.float64(358.64710882557404); np.float64(20.149431724738797); np.float64(43224.590812410315)],-1.352891174,-4.5,351.5,-1.4
NWFC,NWFC-5B,119,58.5,351.5,58.5,232.5,0,NWFC-5B,5,sun compass orientation,0,114.5,58.5,0,0,yes,28,7,2024,3,19,11,18,1,nan,351.5,[np.float64(358.64710882557404); np.float64(20.149431724738797); np.float64(43224.590812410315)],-1.352891174,-123,351.5,-1.4,NWFC-5B,5,sun compass orientation,0,356,78,0,0,no,28,7,2024,3,19,11,18,1,nan,351.5,[np.float64(358.64710882557404); np.float64(20.149431724738797); np.float64(43224.590812410315)],-1.352891174,-4.5,351.5,-1.4
NWFC,NWFC-5C,119,58.5,351.5,58.5,232.5,0,NWFC-5C,5,sun compass orientation,0,114.5,58.5,0,0,yes,28,7,2024,3,19,11,18,1,nan,351.5,[np.float64(358.64710882557404); np.float64(20.149431724738797); np.float64(43224.590812410315)],-1.352891174,-123,351.5,-1.4,NWFC-5C,5,sun compass orientation,0,356,78,0,0,no,28,7,2024,3,19,11,18,1,nan,351.5,[np.float64(358.64710882557404); np.float64(20.149431724738797); np.float64(43224.590812410315)],-1.352891174,-4.5,351.5,-1.4
NWFC,NWFC-5D,119,58.5,351.5,58.5,232.5,0,NWFC-5D,5,sun compass orientation,0,114.5,58.5,0,0,yes,28,7,2024,3,19,11,18,1,nan,351.5,[np.float64(358.64710882557404); np.float64(20.149431724738797); np.float64(43224.590812410315)],-1.352891174,-123,351.5,-1.4,NWFC-5D,5,sun compass orientation,0,356,78,0,0,no,28,7,2024,3,19,11,18,1,nan,351.5,[np.float64(358.64710882557404); np.float64(20.149431724738797); np.float64(43224.590812410315)],-1.352891174,-4.5,351.5,-1.4
NWFC,NWFC-5E,119,58.5,351.5,58.5,232.5,0,NWFC-5E,5,sun compass orientation,0,114.5,58.5,0,0,yes,28,7,2024,3,19,11,18,1,nan,351.5,[np.float64(358.64710882557404); np.float64(20.149431724738797); np.float64(43224.590812410315)],-1.352891174,-123,351.5,-1.4,NWFC-5E,5,sun compass orientation,0,356,78,0,0,no,28,7,2024,3,19,11,18,1,nan,351.5,[np.float64(358.64710882557404); np.float64(20.149431724738797); np.float64(43224.590812410315)],-1.352891174,-4.5,351.5,-1.4
NWFC,NWFC-6A,112,63,284.7,63,172.7,0,NWFC-6A,6,sun compass orientation,0,112.7,63,0,0,yes,318,7,2024,3,19,11,23,1,nan,284.7,[np.float64(358.64710826679084); np.float64(20.149432849395833); np.float64(43224.59129923078)],-1.352891733,172,284.7,-1.4,NWFC-6A,6,sun compass orientation,0,284,65,0,0,no,318,7,2024,3,19,11,23,1,nan,284.7,[np.float64(358.64710826679084); np.float64(20.149432849395833); np.float64(43224.59129923078)],-1.352891733,0.7,284.7,-1.4
NWFC,NWFC-6B,112,63,284.7,63,172.7,0,NWFC-6B,6,sun compass orientation,0,112.7,63,0,0,yes,318,7,2024,3,19,11,23,1,nan,284.7,[np.float64(358.64710826679084); np.float64(20.149432849395833); np.float64(43224.59129923078)],-1.352891733,172,284.7,-1.4,NWFC-6B,6,sun compass orientation,0,284,65,0,0,no,318,7,2024,3,19,11,23,1,nan,284.7,[np.float64(358.64710826679084); np.float64(20.149432849395833); np.float64(43224.59129923078)],-1.352891733,0.7,284.7,-1.4
NWFC,NWFC-6C,112,63,284.7,63,172.7,0,NWFC-6C,6,sun compass orientation,0,112.7,63,0,0,yes,318,7,2024,3,19,11,23,1,nan,284.7,[np.float64(358.64710826679084); np.float64(20.149432849395833); np.float64(43224.59129923078)],-1.352891733,172,284.7,-1.4,NWFC-6C,6,sun compass orientation,0,284,65,0,0,no,318,7,2024,3,19,11,23,1,nan,284.7,[np.float64(358.64710826679084); np.float64(20.149432849395833); np.float64(43224.59129923078)],-1.352891733,0.7,284.7,-1.4
NWFC,NWFC-6D,112,63,284.7,63,172.7,0,NWFC-6D,6,sun compass orientation,0,112.7,63,0,0,yes,318,7,2024,3,19,11,23,1,nan,284.7,[np.float64(358.64710826679084); np.float64(20.149432849395833); np.float64(43224.59129923078)],-1.352891733,172,284.7,-1.4,NWFC-6D,6,sun compass orientation,0,284,65,0,0,no,318,7,2024,3,19,11,23,1,nan,284.7,[np.float64(358.64710826679084); np.float64(20.149432849395833); np.float64(43224.59129923078)],-1.352891733,0.7,284.7,-1.4
NWFC,NWFC-6E,112,63,284.7,63,172.7,0,NWFC-6E,6,sun compass orientation,0,112.7,63,0,0,yes,318,7,2024,3,19,11,23,1,nan,284.7,[np.float64(358.64710826679084); np.float64(20.149432849395833); np.float64(43224.59129923078)],-1.352891733,172,284.7,-1.4,NWFC-6E,6,sun compass orientation,0,284,65,0,0,no,318,7,2024,3,19,11,23,1,nan,284.7,[np.float64(358.64710826679084); np.float64(20.149432849395833); np.float64(43224.59129923078)],-1.352891733,0.7,284.7,-1.4
NWFC,NWFC-7A,102,106,318.7,106,216.7,0,NWFC-7A,7,sun compass orientation,0,94.7,106,0,0,yes,335,7,2024,3,19,11,45,1,nan,318.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-136,318.7,-1.4,NWFC-7A,7,sun compass orientation,0,326,52,0,0,no,335,7,2024,3,19,11,45,1,nan,318.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-7.3,318.7,-1.4
NWFC,NWFC-7B,102,106,318.7,106,216.7,0,NWFC-7B,7,sun compass orientation,0,94.7,106,0,0,yes,335,7,2024,3,19,11,45,1,nan,318.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-136,318.7,-1.4,NWFC-7B,7,sun compass orientation,0,326,52,0,0,no,335,7,2024,3,19,11,45,1,nan,318.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-7.3,318.7,-1.4
NWFC,NWFC-7C,102,106,318.7,106,216.7,0,NWFC-7C,7,sun compass orientation,0,94.7,106,0,0,yes,335,7,2024,3,19,11,45,1,nan,318.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-136,318.7,-1.4,NWFC-7C,8,sun compass orientation,0,326,52,0,0,no,335,7,2024,3,19,11,45,1,nan,319.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-7.3,318.7,-1.4
NWFC,NWFC-7D,102,106,318.7,106,216.7,0,NWFC-7D,7,sun compass orientation,0,94.7,106,0,0,yes,335,7,2024,3,19,11,45,1,nan,318.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-136,318.7,-1.4,NWFC-7D,7,sun compass orientation,0,326,52,0,0,no,335,7,2024,3,19,11,45,1,nan,318.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-7.3,318.7,-1.4
NWFC,NWFC-7E,102,106,318.7,106,216.7,0,NWFC-7E,7,sun compass orientation,0,94.7,106,0,0,yes,335,7,2024,3,19,11,45,1,nan,318.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-136,318.7,-1.4,NWFC-7E,7,sun compass orientation,0,326,52,0,0,no,335,7,2024,3,19,11,45,1,nan,318.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-7.3,318.7,-1.4
NWFC,NWFC-7F,102,106,318.7,106,216.7,0,NWFC-7F,7,sun compass orientation,0,94.7,106,0,0,yes,335,7,2024,3,19,11,45,1,nan,318.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-136,318.7,-1.4,NWFC-7F,7,sun compass orientation,0,326,52,0,0,no,335,7,2024,3,19,11,45,1,nan,318.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-7.3,318.7,-1.4
NWFC,NWFC-7G,102,106,318.7,106,216.7,0,NWFC-7G,7,sun compass orientation,0,94.7,106,0,0,yes,335,7,2024,3,19,11,45,1,nan,318.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-136,318.7,-1.4,NWFC-7G,7,sun compass orientation,0,326,52,0,0,no,335,7,2024,3,19,11,45,1,nan,318.7,[np.float64(358.64710580814494); np.float64(20.14943779788648); np.float64(43224.59344124122)],-1.352894192,-7.3,318.7,-1.4
NWFC,NWFC-8A,144,70.5,342.7,70.5,198.7,0,NWFC-8A,8,sun compass orientation,0,138.7,70.5,0,0,yes,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-156,342.7,-1.4,NWFC-8A,8,sun compass orientation,0,348,41,0,0,no,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-5.3,342.7,-1.4
NWFC,NWFC-8B,144,70.5,342.7,70.5,198.7,0,NWFC-8B,8,sun compass orientation,0,138.7,70.5,0,0,yes,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-156,342.7,-1.4,NWFC-8B,8,sun compass orientation,0,348,41,0,0,no,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-5.3,342.7,-1.4
NWFC,NWFC-8C,144,70.5,342.7,70.5,198.7,0,NWFC-8C,8,sun compass orientation,0,138.7,70.5,0,0,yes,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-156,342.7,-1.4,NWFC-8C,8,sun compass orientation,0,348,41,0,0,no,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-5.3,342.7,-1.4
NWFC,NWFC-8D,144,70.5,342.7,70.5,198.7,0,NWFC-8D,8,sun compass orientation,0,138.7,70.5,0,0,yes,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-156,342.7,-1.4,NWFC-8D,8,sun compass orientation,0,348,41,0,0,no,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-5.3,342.7,-1.4
NWFC,NWFC-8E,144,70.5,342.7,70.5,198.7,0,NWFC-8E,8,sun compass orientation,0,138.7,70.5,0,0,yes,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-156,342.7,-1.4,NWFC-8E,8,sun compass orientation,0,348,41,0,0,no,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-5.3,342.7,-1.4
NWFC,NWFC-8F,144,70.5,342.7,70.5,198.7,0,NWFC-8F,8,sun compass orientation,0,138.7,70.5,0,0,yes,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-156,342.7,-1.4,NWFC-8F,8,sun compass orientation,0,348,41,0,0,no,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-5.3,342.7,-1.4
NWFC,NWFC-8G,144,70.5,342.7,70.5,198.7,0,NWFC-8G,8,sun compass orientation,0,138.7,70.5,0,0,yes,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-156,342.7,-1.4,NWFC-8G,8,sun compass orientation,0,348,41,0,0,no,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-5.3,342.7,-1.4
