tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
PKSF-0B	PKSF-0B	NA	This study	LP-NOMAG		
PKSF-0C	PKSF-0C	NA	This study	LP-NOMAG		
PKSF-0D	PKSF-0D	NA	This study	LP-NOMAG		
PKSF-0E	PKSF-0E	NA	This study	LP-NOMAG		
PKSF-0F	PKSF-0F	NA	This study	LP-NOMAG		
PKSF-0G	PKSF-0G	NA	This study	LP-NOMAG		
PKSF-0H	PKSF-0H	NA	This study	LP-NOMAG		
PKSF-0I	PKSF-0I	NA	This study	LP-NOMAG		
PKSF-0J	PKSF-0J	NA	This study	LP-NOMAG		
PKSF-0K	PKSF-0K	NA	This study	LP-NOMAG		
PKSF-0L	PKSF-0L	NA	This study	LP-NOMAG		
PKSF-0M	PKSF-0M	NA	This study	LP-NOMAG		
PKSF-0N	PKSF-0N	NA	This study	LP-NOMAG		
PKSF-1.A	PKSF-1.A	NA	This study	LP-NOMAG		
PKSF-1.B	PKSF-1.B	NA	This study	LP-NOMAG		
PKSF-1.C	PKSF-1.C	NA	This study	LP-NOMAG		
PKSF-1.D	PKSF-1.D	NA	This study	LP-NOMAG		
PKSF-1.E	PKSF-1.E	NA	This study	LP-NOMAG		
PKSF-1.F	PKSF-1.F	NA	This study	LP-NOMAG		
PKSF-1.G	PKSF-1.G	NA	This study	LP-NOMAG		
PKSF-1.H	PKSF-1.H	NA	This study	LP-NOMAG		
PKSF-1.I	PKSF-1.I	NA	This study	LP-NOMAG		
PKSF-1.J	PKSF-1.J	NA	This study	LP-NOMAG		
PKSF-1.K	PKSF-1.K	NA	This study	LP-NOMAG		
PKSF-1.L	PKSF-1.L	NA	This study	LP-NOMAG		
PKSF-1.M	PKSF-1.M	NA	This study	LP-NOMAG		
PKSF-1.N	PKSF-1.N	NA	This study	LP-NOMAG		
PKSF-1.O	PKSF-1.O	NA	This study	LP-NOMAG		
PKSF-1.P	PKSF-1.P	NA	This study	LP-NOMAG		
