tab	samples
sample	site	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_r	dir_tilt_correction	height	geologic_classes	geologic_types	lithologies	analysts	software_packages	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	location	tilt_correction
NWFA-3A	NWFA												518						217.5	0.0	0.0	90.0	-41.5					
NWFA-3B	NWFA	NWFA-3B		mt	30.0	32.3		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	217.5	0.0	0.0	90.0	-41.5	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-3B	NWFA	NWFA-3B		lt	12.5	50.8		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	217.5	0.0	0.0	90.0	-41.5	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-3C	NWFA												518						217.5	0.0	0.0	90.0	-41.5					
NWFA-4	NWFA												518						155.3	0.0	0.0	90.0	-60.0					
NWFA-4A	NWFA												518						155.3	0.0	0.0	90.0	-60.0					
NWFA-4B	NWFA	NWFA-4B		lt	310.4	42.3		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	155.3	0.0	0.0	90.0	-60.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-4B	NWFA	NWFA-4B		mt	358.5	24.3		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	155.3	0.0	0.0	90.0	-60.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-4C	NWFA	NWFA-4C		mt	1.5	23.0		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	155.3	0.0	0.0	90.0	-60.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-4C	NWFA	NWFA-4C		lt	330.6	46.5		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	155.3	0.0	0.0	90.0	-60.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-5	NWFA												518						228.3	0.0	0.0	90.0	-110.0					
NWFA-5A	NWFA												518						228.3	0.0	0.0	90.0	-110.0					
NWFA-5B	NWFA	NWFA-5B		lt	356.6	33.1		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	228.3	0.0	0.0	90.0	-110.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-5B	NWFA	NWFA-5B		mt	9.7	15.7		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	228.3	0.0	0.0	90.0	-110.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-5C	NWFA	NWFA-5C		lt	352.0	33.7		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	228.3	0.0	0.0	90.0	-110.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-5C	NWFA	NWFA-5C		mt	10.2	16.6		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	228.3	0.0	0.0	90.0	-110.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
