tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	NWF-B	NWF-A-	NWF	NWF-A-1G	NWF-A-1G_LP-DIR-T	shoemake 2025-04-25 18:16:40	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	48.3	293.5	l	g	-63.4	43.4	6	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-1G	NWF-A-1G_LP-DIR-T	shoemake 2025-04-25 18:16:40	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.2	217.2	l	g	-29.9	4.4	11	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-1G	NWF-A-1G_LP-DIR-T	shoemake 2025-04-25 18:16:40	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	48.3	6.0	l	g	-37.9	43.4	6	0
This study	NWF-B	NWF-A-	NWF	NWF-A-1G	NWF-A-1G_LP-DIR-T	shoemake 2025-04-25 18:16:40	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.2	8.5	l	g	19.6	4.4	11	0
This study	NWF-B	NWF-A-	NWF	NWF-A-1H	NWF-A-1H_LP-DIR-T	shoemake 2025-05-01 16:38:30	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	69.9	307.7	l	g	-25.4	32.8	6	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-1H	NWF-A-1H_LP-DIR-T	shoemake 2025-05-01 16:38:30	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.6	220.3	l	g	-30.1	4.7	12	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-1H	NWF-A-1H_LP-DIR-T	shoemake 2025-05-01 16:38:30	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	69.9	58.1	l	g	-44.0	32.8	6	0
This study	NWF-B	NWF-A-	NWF	NWF-A-1H	NWF-A-1H_LP-DIR-T	shoemake 2025-05-01 16:38:30	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.6	10.7	l	g	17.9	4.7	12	0
This study	NWF-B	NWF-A-	NWF	NWF-A-2B	NWF-A-2B_LP-DIR-T	shoemake 2025-04-25 18:21:39	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	82.7	93.4	l	g	21.9	17.7	6	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-2B	NWF-A-2B_LP-DIR-T	shoemake 2025-04-25 18:21:39	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	1.0	183.7	l	g	-18.3	7.6	10	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-2B	NWF-A-2B_LP-DIR-T	shoemake 2025-04-25 18:21:39	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	82.7	227.2	l	g	13.8	17.7	6	0
This study	NWF-B	NWF-A-	NWF	NWF-A-2B	NWF-A-2B_LP-DIR-T	shoemake 2025-04-25 18:21:39	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	1.0	339.3	l	g	40.6	7.6	10	0
This study	NWF-B	NWF-A-	NWF	NWF-A-2C	NWF-A-2C_LP-DIR-T	shoemake 2025-04-25 18:24:07	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	86.3	83.5	l	g	17.9	10.7	6	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-2C	NWF-A-2C_LP-DIR-T	shoemake 2025-04-25 18:24:07	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.2	183.8	l	g	-18.5	5.2	10	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-2C	NWF-A-2C_LP-DIR-T	shoemake 2025-04-25 18:24:07	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	86.3	226.1	l	g	3.7	10.7	6	0
This study	NWF-B	NWF-A-	NWF	NWF-A-2C	NWF-A-2C_LP-DIR-T	shoemake 2025-04-25 18:24:07	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.2	339.5	l	g	40.4	5.2	10	0
This study	NWF-B	NWF-A-	NWF	NWF-A-2D	NWF-A-2D_LP-DIR-T	shoemake 2025-04-25 18:26:34	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	87.6	82.4	l	g	16.7	10.7	7	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-2D	NWF-A-2D_LP-DIR-T	shoemake 2025-04-25 18:26:34	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	1.1	182.9	l	g	-18.9	6.5	12	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-2D	NWF-A-2D_LP-DIR-T	shoemake 2025-04-25 18:26:34	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	87.6	226.5	l	g	2.2	10.7	7	0
This study	NWF-B	NWF-A-	NWF	NWF-A-2D	NWF-A-2D_LP-DIR-T	shoemake 2025-04-25 18:26:34	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	1.1	338.3	l	g	40.0	6.5	12	0
This study	NWF-B	NWF-A-	NWF	NWF-A-3B	NWF-A-3B_LP-DIR-T	shoemake 2025-04-25 18:28:58	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	18.1	176.2	l	g	12.4	15.8	7	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-3B	NWF-A-3B_LP-DIR-T	shoemake 2025-04-25 18:28:58	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	1.3	170.9	l	g	-8.5	7.7	11	-1
