tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
PKSB	PKSB	PKSB-1	PKSB-1B:PKSB-1C:PKSB-1D:PKSB-1E:PKSB-1F:PKSB-1G:PKSB-1H		mt	  190.3 	  -11.3 		1	1	1	0	r		0	15.2	106.2		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  182.6 	   92.7 	  -76.1 	   58.3 
PKSF	PKSF	PKSF-0A:PKSF-0B:PKSF-0C:PKSF-0D:PKSF-0E:PKSF-0F:PKSF-0G:PKSF-0H:PKSF-0I:PKSF-0J:PKSF-0K:PKSF-0L:PKSF-0M:PKSF-1.B:PKSF-1.C:PKSF-1.D:PKSF-1.E:PKSF-1.F:PKSF-1.G:PKSF-1.H:PKSF-1.I:PKSF-1.J:PKSF-1.K:PKSF-1.L:PKSF-1.M:PKSF-1.N:PKSF-1.O:PKSF-1B:PKSF-1C:PKSF-1D:PKSF-1E:PKSF-1F:PKSF-1G:PKSF-1H:PKSF-1I:PKSF-1J:PKSF-1K:PKSF-1L:PKSF-2A:PKSF-2B:PKSF-2C:PKSF-2D:PKSF-2E:PKSF-2F:PKSF-2G:PKSF-2H:PKSF-2I:PKSF-2J:PKSF-2K:PKSF-3B:PKSF-3C:PKSF-3D:PKSF-3E:PKSF-3F:PKSF-3G:PKSF-3H:PKSF-3I:PKSF-3J:PKSF-3K:PKSF-3L:PKSF-4B:PKSF-4C:PKSF-4D:PKSF-4E:PKSF-4F:PKSF-4G:PKSF-4H:PKSF-4I:PKSF-4J:PKSF-4K:PKSF-5A:PKSF-5B:PKSF-5C:PKSF-5D:PKSF-5E:PKSF-5F:PKSF-5G:PKSF-5H:PKSF-5I:PKSF-5J:PKSF-5K:PKSF-5L:PKSF-6B:PKSF-6C:PKSF-6D:PKSF-6E:PKSF-6F:PKSF-7A:PKSF-7B:PKSF-7D:PKSF-7E:PKSF-7F:PKSF-7G:PKSF-7H:PKSF-7I:PKSF-8A:PKSF-8B:PKSF-8C:PKSF-8D:PKSF-8E:PKSF-8F:PKSF-8G:PKSF-9A:PKSF-9B:PKSF-9D:PKSF-9E:PKSF-9F:PKSF-9G:PKSF-9H:PKSF-9I	PKSF-0A:PKSF-0B:PKSF-0C:PKSF-0D:PKSF-0E:PKSF-0F:PKSF-0G:PKSF-0H:PKSF-0I:PKSF-0J:PKSF-0K:PKSF-0L:PKSF-0M:PKSF-1.B:PKSF-1.C:PKSF-1.D:PKSF-1.E:PKSF-1.F:PKSF-1.G:PKSF-1.H:PKSF-1.I:PKSF-1.J:PKSF-1.K:PKSF-1.L:PKSF-1.M:PKSF-1.N:PKSF-1.O:PKSF-1B:PKSF-1C:PKSF-1D:PKSF-1E:PKSF-1F:PKSF-1G:PKSF-1H:PKSF-1I:PKSF-1J:PKSF-1K:PKSF-1L:PKSF-2A:PKSF-2B:PKSF-2C:PKSF-2D:PKSF-2E:PKSF-2F:PKSF-2G:PKSF-2H:PKSF-2I:PKSF-2J:PKSF-2K:PKSF-3B:PKSF-3C:PKSF-3D:PKSF-3E:PKSF-3F:PKSF-3G:PKSF-3H:PKSF-3I:PKSF-3J:PKSF-3K:PKSF-3L:PKSF-4B:PKSF-4C:PKSF-4D:PKSF-4E:PKSF-4F:PKSF-4G:PKSF-4H:PKSF-4I:PKSF-4J:PKSF-4K:PKSF-5A:PKSF-5B:PKSF-5C:PKSF-5D:PKSF-5E:PKSF-5F:PKSF-5G:PKSF-5H:PKSF-5I:PKSF-5J:PKSF-5K:PKSF-5L:PKSF-6B:PKSF-6C:PKSF-6D:PKSF-6E:PKSF-6F:PKSF-7A:PKSF-7B:PKSF-7D:PKSF-7E:PKSF-7F:PKSF-7G:PKSF-7H:PKSF-7I:PKSF-8A:PKSF-8B:PKSF-8C:PKSF-8D:PKSF-8E:PKSF-8F:PKSF-8G:PKSF-9A:PKSF-9B:PKSF-9D:PKSF-9E:PKSF-9F:PKSF-9G:PKSF-9H:PKSF-9I	   35.4 	lt	   96.8 	  -11.1 	     1 	110	110 	110 	0 	t	14.4264 	0	15.1	106.2		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   35.9 	   18.2 	   -8.0 	  199.9 
PKSF	PKSF	PKSF-0A:PKSF-0B:PKSF-0C:PKSF-0D:PKSF-0E:PKSF-0F:PKSF-0G:PKSF-0H:PKSF-0I:PKSF-0J:PKSF-0K:PKSF-0L:PKSF-0M:PKSF-1.B:PKSF-1.D:PKSF-1.F:PKSF-1.G:PKSF-1.H:PKSF-1.I:PKSF-1.J:PKSF-1.K:PKSF-1.L:PKSF-1.M:PKSF-1.N:PKSF-1.O:PKSF-1B:PKSF-1C:PKSF-1D:PKSF-1E:PKSF-1F:PKSF-1G:PKSF-1H:PKSF-1I:PKSF-1J:PKSF-1K:PKSF-1L:PKSF-2A:PKSF-2B:PKSF-2C:PKSF-2D:PKSF-2E:PKSF-2F:PKSF-2G:PKSF-2H:PKSF-2I:PKSF-2J:PKSF-2K:PKSF-3B:PKSF-3C:PKSF-3D:PKSF-3E:PKSF-3F:PKSF-3G:PKSF-3H:PKSF-3I:PKSF-3J:PKSF-3K:PKSF-3L:PKSF-4B:PKSF-4C:PKSF-4D:PKSF-4E:PKSF-4F:PKSF-4G:PKSF-4H:PKSF-4I:PKSF-4J:PKSF-4K:PKSF-5A:PKSF-5B:PKSF-5C:PKSF-5D:PKSF-5E:PKSF-5F:PKSF-5G:PKSF-5H:PKSF-5I:PKSF-5J:PKSF-5K:PKSF-5L:PKSF-6B:PKSF-6C:PKSF-6E:PKSF-6F:PKSF-7A:PKSF-7B:PKSF-7C:PKSF-7D:PKSF-7E:PKSF-7F:PKSF-7H:PKSF-7I:PKSF-8A:PKSF-8B:PKSF-8C:PKSF-8D:PKSF-8E:PKSF-8F:PKSF-8G:PKSF-9A:PKSF-9B:PKSF-9C:PKSF-9D:PKSF-9E:PKSF-9F:PKSF-9G:PKSF-9H:PKSF-9I	PKSF-0A:PKSF-0B:PKSF-0C:PKSF-0D:PKSF-0E:PKSF-0F:PKSF-0G:PKSF-0H:PKSF-0I:PKSF-0J:PKSF-0K:PKSF-0L:PKSF-0M:PKSF-1.B:PKSF-1.D:PKSF-1.F:PKSF-1.G:PKSF-1.H:PKSF-1.I:PKSF-1.J:PKSF-1.K:PKSF-1.L:PKSF-1.M:PKSF-1.N:PKSF-1.O:PKSF-1B:PKSF-1C:PKSF-1D:PKSF-1E:PKSF-1F:PKSF-1G:PKSF-1H:PKSF-1I:PKSF-1J:PKSF-1K:PKSF-1L:PKSF-2A:PKSF-2B:PKSF-2C:PKSF-2D:PKSF-2E:PKSF-2F:PKSF-2G:PKSF-2H:PKSF-2I:PKSF-2J:PKSF-2K:PKSF-3B:PKSF-3C:PKSF-3D:PKSF-3E:PKSF-3F:PKSF-3G:PKSF-3H:PKSF-3I:PKSF-3J:PKSF-3K:PKSF-3L:PKSF-4B:PKSF-4C:PKSF-4D:PKSF-4E:PKSF-4F:PKSF-4G:PKSF-4H:PKSF-4I:PKSF-4J:PKSF-4K:PKSF-5A:PKSF-5B:PKSF-5C:PKSF-5D:PKSF-5E:PKSF-5F:PKSF-5G:PKSF-5H:PKSF-5I:PKSF-5J:PKSF-5K:PKSF-5L:PKSF-6B:PKSF-6C:PKSF-6E:PKSF-6F:PKSF-7A:PKSF-7B:PKSF-7C:PKSF-7D:PKSF-7E:PKSF-7F:PKSF-7H:PKSF-7I:PKSF-8A:PKSF-8B:PKSF-8C:PKSF-8D:PKSF-8E:PKSF-8F:PKSF-8G:PKSF-9A:PKSF-9B:PKSF-9C:PKSF-9D:PKSF-9E:PKSF-9F:PKSF-9G:PKSF-9H:PKSF-9I	   20.3 	mt	   35.6 	  -10.0 	     1 	108	108 	108 	0 	n	33.7958 	0	15.1	106.2		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   20.5 	   10.4 	   49.4 	  223.2 
PKSG	PKSG	PKSG-1:PKSG-2:PKSG-3:PKSG-4:PKSG-5:PKSG-6:PKSG-7:PKSG-8	PKSG-1B:PKSG-1C:PKSG-1D:PKSG-1E:PKSG-1F:PKSG-1G:PKSG-2A:PKSG-2B:PKSG-2C:PKSG-2D:PKSG-2E:PKSG-2F:PKSG-2G:PKSG-3B:PKSG-3C:PKSG-3D:PKSG-3E:PKSG-4B:PKSG-4C:PKSG-4D:PKSG-4E:PKSG-4F:PKSG-5B:PKSG-5C:PKSG-5D:PKSG-6A:PKSG-6C:PKSG-7C:PKSG-8B:PKSG-8C:PKSG-8D	   50.3 	lt	  136.6 	    9.9 	     2 	8	8 	8 	0 	r	4.7693 	0	15.2	106.2		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   50.9 	   25.7 	  -42.5 	  174.4 
PKSG	PKSG	PKSG-1:PKSG-2:PKSG-3:PKSG-4:PKSG-5:PKSG-6:PKSG-7:PKSG-8	PKSG-1B:PKSG-1C:PKSG-1D:PKSG-1E:PKSG-1F:PKSG-1G:PKSG-2A:PKSG-2B:PKSG-2C:PKSG-2D:PKSG-2E:PKSG-2F:PKSG-2G:PKSG-3B:PKSG-3C:PKSG-3D:PKSG-3E:PKSG-4B:PKSG-4C:PKSG-4D:PKSG-4E:PKSG-4F:PKSG-5B:PKSG-5C:PKSG-5D:PKSG-6A:PKSG-6B:PKSG-6C:PKSG-7B:PKSG-7C:PKSG-8B:PKSG-8C:PKSG-8D	   26.6 	mt	  156.3 	    3.5 	     5 	8	8 	8 	0 	r	6.6788 	0	15.2	106.2		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   26.6 	   13.3 	  -61.1 	  162.4 
PKSH	PKSH	PKSH-1B:PKSH-1F:PKSH-1G:PKSH-1H:PKSH-1I:PKSH-1J:PKSH-1K:PKSH-1L:PKSH-2B:PKSH-2C:PKSH-2D:PKSH-2F:PKSH-2G:PKSH-2H:PKSH-2I:PKSH-3B:PKSH-3E	PKSH-1B:PKSH-1F:PKSH-1G:PKSH-1H:PKSH-1I:PKSH-1J:PKSH-1K:PKSH-1L:PKSH-2B:PKSH-2C:PKSH-2D:PKSH-2F:PKSH-2G:PKSH-2H:PKSH-2I:PKSH-3B:PKSH-3E	   25.7 	lt	  172.5 	  -20.6 	     3 	17	17 	17 	0 	r	11.4697 	0	15.2	106.2		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   27.0 	   14.2 	  -81.4 	  165.1 
PKSH	PKSH	PKSH-1B:PKSH-1C:PKSH-1D:PKSH-1E:PKSH-1F:PKSH-1G:PKSH-1H:PKSH-1I:PKSH-1J:PKSH-1K:PKSH-1L:PKSH-2B:PKSH-2C:PKSH-2D:PKSH-2F:PKSH-2H:PKSH-2I:PKSH-2J:PKSH-3B:PKSH-3C:PKSH-3D:PKSH-3E:PKSH-3F	PKSH-1B:PKSH-1C:PKSH-1D:PKSH-1E:PKSH-1F:PKSH-1G:PKSH-1H:PKSH-1I:PKSH-1J:PKSH-1K:PKSH-1L:PKSH-2B:PKSH-2C:PKSH-2D:PKSH-2F:PKSH-2H:PKSH-2I:PKSH-2J:PKSH-3B:PKSH-3C:PKSH-3D:PKSH-3E:PKSH-3F	   15.5 	mt	  173.2 	   -9.4 	     5 	23	23 	23 	0 	r	18.4319 	0	15.2	106.2		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   15.7 	    7.9 	  -77.6 	  139.5 
PKSI	PKSI	PKSI-1B:PKSI-1C:PKSI-1D:PKSI-1E:PKSI-1F:PKSI-1G	PKSI-1B:PKSI-1C:PKSI-1D:PKSI-1E:PKSI-1F:PKSI-1G	    6.1 	lt	   91.6 	  -45.0 	   122 	6	6 	6 	0 	t	5.9592 	0	15.2	106.2		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    7.7 	    4.9 	   -8.1 	  221.6 
PKSI	PKSI	PKSI-1B:PKSI-1C:PKSI-1D:PKSI-1E:PKSI-1F	PKSI-1B:PKSI-1C:PKSI-1D:PKSI-1E:PKSI-1F	    5.0 	mt	   48.8 	  -34.9 	   234 	5	5 	5 	0 	t	4.9829 	0	15.2	106.2		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    5.8 	    3.3 	   30.9 	  230.3 
PKSJ	PKSJ	PKSJ-1:PKSJ-2	PKSJ-1A:PKSJ-2D	   31.1 	Fit 2	  173.2 	  -36.9 	    67 	2	2 	2 	0 	r	1.9850 	0	15.2	106.3		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   36.4 	   21.3 	  -81.6 	  237.0 
